"year","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","source"
1982,0.181031932,0.34010262,0.411284839,0.777489693,1.05063096,1.187602281,1.401295055,1.566716052,2.23454972,1.990128678,1.90356658,1.523858434,2.945983171,"survey"
1983,0.2092313,0.342208428,0.536214376,0.773798595,1.015548417,1.452548113,1.405551166,1.667173269,1.528755165,1.577053366,2.013323555,2.126791623,1.834381147,"survey"
1984,0.215269676,0.314233521,0.432480015,0.602643214,0.925661639,1.313140857,1.268111301,1.473242298,1.985148233,1.687623767,1.904738606,1.426141515,2.122131762,"survey"
1985,0.228603904,0.368481131,0.480965669,0.715013866,0.909883423,1.212701019,1.723101627,1.436339374,1.532255321,1.776502202,2.037584509,1.652322718,2.634222682,"survey"
1986,0.168969714,0.309572983,0.413697711,0.607613298,0.766757317,1.017531233,1.304327767,1.649841492,1.276106871,1.380890394,1.982826288,2.233433966,2.222914054,"survey"
1987,0.253187488,0.331759174,0.42218243,0.546805381,0.718040744,0.848685219,1.008413862,1.261388267,1.58083564,1.612164576,2.201603997,2.044836159,2.394966792,"survey"
1988,0.280945688,0.33049288,0.445718287,0.493964573,0.589816257,0.81436595,0.908014134,1.03984479,1.229934396,1.28469328,1.570747191,0.686443372,1.74033498,"survey"
1989,0.168913654,0.27703804,0.370971388,0.549128174,0.661911368,0.836812096,1.027490598,1.000038881,1.115421973,1.01362491,1.260065223,1.143829707,1.102760002,"survey"
1990,0.187397613,0.355865191,0.478474491,0.54480594,0.614302789,0.734885118,1.029256003,0.9793391,1.023303002,1.187875302,0.85459447,1.390104852,1.714437854,"survey"
1991,0.200617157,0.333014756,0.565419119,0.650029392,0.776533186,0.855621817,1.015924976,1.10457412,1.287470965,1.370090659,1.347147814,1.732752381,1.691324457,"survey"
1992,0.254852925,0.399708407,0.463904618,0.570071292,0.756097395,0.770657536,0.928946363,1.00788587,1.137849621,1.520173177,1.53897789,1.42639365,1.562767824,"survey"
1993,0.249518569,0.408695574,0.464365433,0.548045788,0.661875665,0.783197558,0.986840979,0.999095887,1.148661577,1.285484262,1.508884801,1.576480218,1.908970144,"survey"
1994,0.211795578,0.400950723,0.536199619,0.672016358,0.648230493,1.046299661,1.165820979,1.106630748,1.219347603,1.240531816,1.36720357,1.436163685,1.450570554,"survey"
1995,0.168529995,0.362556789,0.478139928,0.648494011,0.623746168,0.785125976,0.910894122,1.280940734,1.222214956,1.254044881,1.399422362,1.421749006,1.740113739,"survey"
1996,0.151066851,0.299701567,0.486575594,0.583185248,0.757789598,0.819824617,0.97935775,1.023410429,1.350087412,1.461437658,1.48748571,1.639299401,1.963852952,"survey"
1997,0.188844234,0.276878306,0.38169378,0.53046664,0.673518902,0.776023231,0.996496753,0.965860409,1.211314835,1.464772406,1.089919461,1.566396192,1.951038143,"survey"
1998,0.212802061,0.332301557,0.446031943,0.519240559,0.811083052,0.887032743,1.07765657,1.292644496,1.591887888,1.414569471,1.515567814,1.669169419,1.905073716,"survey"
1999,0.216293028,0.350850404,0.392250309,0.526305547,0.615737943,0.881696945,1.037549389,1.008255893,1.278596059,1.132209871,1.666060137,1.759817257,2.192308274,"survey"
2000,0.219144845,0.398123938,0.470043993,0.520967397,0.722163132,0.759368753,0.924925488,1.034916247,1.235952745,1.338122243,1.781745107,1.625571684,2.047886854,"survey"
2001,0.201417214,0.355504785,0.616727296,0.729437205,0.749937223,1.000419082,0.98182621,1.03086099,1.277821082,1.419050428,1.473561277,1.765573578,1.539116659,"survey"
2002,0.268622681,0.402463022,0.543860731,0.684979813,0.712800083,0.904262258,1.006334625,1.0534455,1.009736444,1.139010868,1.474134337,1.409576041,2.108250833,"survey"
2003,0.3416501,0.418994071,0.647751011,0.709831565,0.886408711,0.868749085,1.123543497,1.239423802,1.268921352,1.284637495,1.368588846,1.747320555,1.780308386,"survey"
2004,0.28382298,0.515738276,0.595007346,0.749772215,0.894926789,0.931529915,1.119220169,1.026839902,1.278626643,1.55157466,1.537060121,2.375172932,1.712005434,"survey"
2005,0.23066996,0.394157556,0.539363412,0.698344075,0.858539158,0.930551575,0.992545718,1.222539252,1.383085522,1.229117395,1.400691601,1.50443394,1.681657455,"survey"
2006,0.178795544,0.457327255,0.604509217,0.679087829,0.788690112,0.865782177,1.057634269,1.171101703,1.278714566,1.336332993,1.668646035,1.518886689,1.703814084,"survey"
