"year","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","source"
1987,0.02641025,0.035407543,0.043255101,0.052400113,0.070003109,0.078530452,0.08811943,0.098053133,0.116756044,0.276354558,0.342697302,0.399423243,0.450702734,"survey"
1988,0.029405222,0.035359743,0.04550353,0.051828942,0.05962068,0.074813474,0.084601433,0.099327732,0.118975859,0.241350505,0.340147262,0.186005165,0.356738084,"survey"
1989,0.017408495,0.036883957,0.043876665,0.052160137,0.062242748,0.066475043,0.091733833,0.091634045,0.103649598,0.214112715,0.22310462,0.235482063,0.252247074,"survey"
1990,0.015477053,0.037690678,0.050292949,0.056994892,0.060804915,0.071735166,0.078386589,0.104100768,0.107116302,0.224013466,0.211348578,0.253116678,0.271270656,"survey"
1991,0.01564566,0.03541252,0.048549707,0.057816506,0.069339808,0.073855888,0.087008953,0.090752512,0.108365063,0.237457505,0.250756603,0.280948464,0.381577112,"survey"
1992,0.028627695,0.037574912,0.051248843,0.062216831,0.077292307,0.083385715,0.088996205,0.098337992,0.109881804,0.249203041,0.274985483,0.267739608,0.274650881,"survey"
1993,0.03101524,0.045290607,0.050005597,0.055055861,0.065981706,0.07936467,0.097589155,0.102750267,0.115113692,0.250505962,0.277402487,0.308182172,0.337948385,"survey"
1994,0.022299332,0.047393211,0.057201864,0.063410986,0.071331006,0.097076678,0.116476357,0.112175103,0.11944747,0.264526901,0.284104534,0.301301066,0.335880242,"survey"
1995,0.01436009,0.037892673,0.048654813,0.062831716,0.065410109,0.079776679,0.09316909,0.116012008,0.112041456,0.257690106,0.266590297,0.283223326,0.333033243,"survey"
1996,0.014963917,0.031554125,0.04983235,0.059437555,0.073187765,0.081424721,0.097130391,0.105513837,0.129045942,0.276913668,0.28459569,0.307834905,0.327759029,"survey"
1997,0.022830206,0.033711658,0.040403566,0.054387536,0.069145858,0.079023738,0.096652786,0.102287052,0.115977046,0.260671297,0.254670934,0.292737487,0.316224101,"survey"
1998,0.017732537,0.034350808,0.047615039,0.051754272,0.067385121,0.08144145,0.089823413,0.096615706,0.105452032,0.270318952,0.267795304,0.348159036,0.360255345,"survey"
1999,0.0815,0.104,0.123,0.115,0.232,0.34,0.363,0.431,0.381,0.554,0.544,0.439,0.429,"survey"
2000,0.0807,0.101,0.112,0.137,0.162,0.225,0.409,0.459,0.491,0.521,0.484,0.621,0.448,"survey"
2001,0.0832,0.133,0.159,0.141,0.215,0.299,0.38,0.415,0.537,0.507,0.479,0.649,0.628,"survey"
2002,0.114,0.109,0.171,0.207,0.285,0.28,0.359,0.375,0.445,0.525,0.55,0.535,0.421,"survey"
